AlphaRing,Halo 4,Halo Reach,Halo 3,Halo 3 ODST,Halo 2,Halo 2 Anniversary,Halo 1
Steel,H4_Color0_Steel,HR_Color_Steel,H3_COLOR0_STEEL,ODST_COLOR_BLACK,H2_Color_2,H2A_Color_2,H1_Color_2
Silver,H4_Color1_Silver,HR_Color_Silver,H3_COLOR1_SILVER,ODST_COLOR_GRAY,H2_Color_2,H2A_Color_1,H1_Color_5
White,H4_Color2_White,HR_Color_White,H3_COLOR2_WHITE,ODST_COLOR_SNOW,H2_Color_1,H2A_Color_3,H1_Color_1
Brown,H4_Color3_Brown,HR_Color_Brown,H3_COLOR27_BROWN,ODST_COLOR_BROWN,H2_Color_17,H2A_Color_4,H1_Color_15
Tan,H4_Color4_Tan,HR_Color_Tan,H3_COLOR28_TAN,ODST_COLOR_TAN,H2_Color_18,H2A_Color_5,H1_Color_16
Khaki,H4_Color5_Khaki,HR_Color_Khaki,H3_COLOR29_KHAKI,ODST_COLOR_KHAKI,H2_Color_18,H2A_Color_6,H1_Color_16
Sage,H4_Color6_Sage,HR_Color_Sage,H3_COLOR12_SAGE,ODST_COLOR_SAGE,H2_Color_8,H2A_Color_7,H1_Color_14
Olive,H4_Color7_Olive,HR_Color_Olive,H3_COLOR14_OLIVE,ODST_COLOR_OLIVE,H2_Color_6,H2A_Color_8,H1_Color_14
Drab,H4_Color8_Drab,HR_Color_Drab,H3_COLOR13_GREEN,ODST_COLOR_DRAB,H2_Color_7,H2A_Color_9,H1_Color_7
Forest,H4_Color9_Forest,HR_Color_Forest,H3_COLOR12_SAGE,ODST_COLOR_FOREST,H2_Color_8,H2A_Color_10,H1_Color_14
Green,H4_Color10_Green,HR_Color_Green,H3_COLOR13_GREEN,ODST_COLOR_GREEN,H2_Color_7,H2A_Color_11,H1_Color_14
Sea Foam,H4_Color11_SeaFoam,HR_Color_SeaFoam,H3_COLOR15_TEAL,ODST_COLOR_SEA_FOAM,H2_Color_10,H2A_Color_12,H1_Color_13
Teal,H4_Color12_Teal,HR_Color_Teal,H3_COLOR15_TEAL,ODST_COLOR_TEAL,H2_Color_10,H2A_Color_13,H1_Color_13
Aqua,H4_Color13_Aqua,HR_Color_Aqua,H3_COLOR16_AQUA,ODST_COLOR_AQUA,H2_Color_9,H2A_Color_14,H1_Color_10
Cyan,H4_Color14_Cyan,HR_Color_Cyan,H3_COLOR17_CYAN,ODST_COLOR_CYAN,H2_Color_9,H2A_Color_15,H1_Color_10
Blue,H4_Color15_Blue,HR_Color_Blue,H3_COLOR18_BLUE,ODST_COLOR_BLUE,H2_Color_12,H2A_Color_16,H1_Color_4
Cobalt,H4_Color16_Cobalt,HR_Color_Cobalt,H3_COLOR19_COBALT,ODST_COLOR_COBALT,H2_Color_11,H2A_Color_17,H1_Color_11
Ice,H4_Color17_Ice,HR_Color_Ice,H3_COLOR20_SAPHIRE,ODST_COLOR_ICE,H2_Color_11,H2A_Color_18,H1_Color_11
Violet,H4_Color18_Violet,HR_Color_Violet,H3_COLOR21_VIOLET,ODST_COLOR_VIOLET,H2_Color_13,H2A_Color_19,H1_Color_9
Orchid,H4_Color19_Orchid,HR_Color_Orchid,H3_COLOR22_ORCHID,ODST_COLOR_PINK,H2_Color_15,H2A_Color_20,H1_Color_8
Lavender,H4_Color20_Lavender,HR_Color_Lavender,H3_COLOR23_LAVENDER,ODST_COLOR_LAVENDER,H2_Color_14,H2A_Color_21,H1_Color_9
Maroon,H4_Color21_Maroon,HR_Color_Maroon,H3_COLOR3_RED,ODST_COLOR_MAROON,H2_Color_16,H2A_Color_22,H1_Color_17
Brick,H4_Color22_Brick,HR_Color_Brick,H3_COLOR3_RED,ODST_COLOR_BRICK,H2_Color_3,H2A_Color_23,H1_Color_3
Rose,H4_Color23_Rose,HR_Color_Rose,H3_COLOR5_SALMON,ODST_COLOR_ROSE,H2_Color_15,H2A_Color_24,H1_Color_8
Rust,H4_Color24_Rust,HR_Color_Rust,H3_COLOR6_ORANGE,ODST_COLOR_COCOA,H2_Color_4,H2A_Color_25,H1_Color_12
Coral,H4_Color25_Coral,HR_Color_Coral,H3_COLOR7_CORAL,ODST_COLOR_CORAL,H2_Color_4,H2A_Color_26,H1_Color_12
Peach,H4_Color26_Peach,HR_Color_Peach,H3_COLOR8_PEACH,ODST_COLOR_ROSE,H2_Color_15,H2A_Color_27,H1_Color_18
Gold,H4_Color27_Gold,HR_Color_Gold,H3_COLOR9_GOLD,ODST_COLOR_GOLD,H2_Color_5,H2A_Color_28,H1_Color_16
Yellow,H4_Color28_Yellow,HR_Color_Yellow,H3_COLOR10_YELLOW,ODST_COLOR_SAND,H2_Color_5,H2A_Color_29,H1_Color_6
Pale,H4_Color28_Yellow,HR_Color_Pale,H3_COLOR11_PALE,ODST_COLOR_DESERT,H2_Color_5,H2A_Color_29,H1_Color_6
